dataset,median_beta,perm_p,bh_q,control_weaker_than_primary
ds003655,-0.0001047980136384,0.497725113744313,0.497725113744313,True
ds004117,-0.0298443995058981,0.169941502924854,0.38045597720114,True
ds005095,-0.0114667954622585,0.253637318134093,0.38045597720114,True
