channel,d,n,auc,auc_flipped,accuracy
C3,5,44,0.787190082644628,0.787190082644628,0.727272727272727
OZ,3,44,0.78099173553719,0.78099173553719,0.659090909090909
P2,6,44,0.764462809917355,0.764462809917355,0.704545454545455
CP1,6,44,0.237603305785124,0.762396694214876,0.295454545454545
P5,6,44,0.737603305785124,0.737603305785124,0.659090909090909
