metric,observed_median,perm_p,bh_q,pupil_control_degraded,load_control_degraded
a,-0.003493160887098,0.804559772011399,0.925203739813009,True,True
b,-0.320687123379836,4.99975001249937e-05,0.0001249937503124,True,True
c^{prime},0.005990753131692,0.925203739813009,0.925203739813009,False,True
ab,0.049545228048392,4.99975001249937e-05,0.0001249937503124,True,True
interaction,-0.019296029870564,0.547772611369432,0.912954352282386,True,True
