dataset,endpoint,feature,type,N,estimate,ci_95,perm_p,local_q,global_q,auc_flipped,auc_raw,estimate_num,auc_flipped_num,ci_lo,ci_hi,display_estimate
ds004584,AUC_PD_vs_CN,dev_z_theta_alpha_ratio,auc,123,0.526475455046884,"[0.422687275385732, 0.633470798229201]",0.619519024048798,0.935003249837508,0.880768461576921,--,--,0.526475455046884,,0.422687275385732,0.633470798229201,0.526475455046884
ds004584,LogitBeta_PD_vs_CN,dev_z_theta_alpha_ratio,logit_beta,123,0.013759425713505,"[-0.361747312958818, 0.376137034365653]",0.935003249837508,0.935003249837508,0.963451827408629,--,--,0.013759425713505,,-0.361747312958818,0.376137034365653,0.013759425713505
ds004584,AUC_PD_vs_CN,dev_z_rel_alpha,auc,123,0.562879205736349,"[0.450952633031904, 0.665750505685838]",0.239538023098845,0.837658117094145,0.64086795660217,--,--,0.562879205736349,,0.450952633031904,0.665750505685838,0.562879205736349
ds004584,LogitBeta_PD_vs_CN,dev_z_rel_alpha,logit_beta,123,0.146553315767932,"[-0.250615575285859, 0.572244671348891]",0.418829058547073,0.837658117094145,0.791121555033359,--,--,0.146553315767932,,-0.250615575285859,0.572244671348891,0.146553315767932
ds004584,AUC_PD_vs_CN,dev_z_spectral_slope,auc,123,0.453667953667954,"[0.350940644654088, 0.561462347342850]",0.385980700964952,0.837658117094145,0.771961401929903,--,--,0.453667953667954,,0.350940644654088,0.56146234734285,0.453667953667954
ds004584,LogitBeta_PD_vs_CN,dev_z_spectral_slope,logit_beta,123,-0.165258151406753,"[-0.479873826238393, 0.140436364775383]",0.317034148292585,0.837658117094145,0.71861073612986,--,--,-0.165258151406753,,-0.479873826238393,0.140436364775383,-0.165258151406753
ds004584,AUC_PD_vs_CN,composite_deviation,auc,123,0.489244346387203,"[0.386576864334596, 0.587792635658915]",0.83830808459577,0.935003249837508,0.963451827408629,--,--,0.489244346387203,,0.386576864334596,0.587792635658915,0.489244346387203
ds004584,LogitBeta_PD_vs_CN,composite_deviation,logit_beta,123,-0.068317639978098,"[-0.827343228207737, 0.664108932252877]",0.852757362131893,0.935003249837508,0.963451827408629,--,--,-0.068317639978098,,-0.827343228207737,0.664108932252877,-0.068317639978098
ds007020,AUC_mortality,dev_z_theta_alpha_ratio,auc,94,0.676767676767677,"[0.533367506744344, 0.813861991168982]",0.0123493825308734,0.061746912654367,0.0699798343416159,0.676767676767677,--,0.676767676767677,0.676767676767677,0.533367506744344,0.813861991168982,0.676767676767677
ds007020,LogitBeta_mortality,dev_z_theta_alpha_ratio,logit_beta,94,0.500360452532407,"[0.076863809538814, 1.274388290038088]",0.047797610119494,0.110294485275736,0.20313984300785,--,--,0.500360452532407,,0.076863809538814,1.274388290038088,0.500360452532407
