fraction,channel,d,n,auc,auc_flipped,accuracy
1.0,C3,5,44,0.787190082644628,0.787190082644628,0.727272727272727
0.9,C3,5,44,0.481404958677686,0.518595041322314,0.431818181818182
0.66,C3,5,44,0.619834710743802,0.619834710743802,0.568181818181818
0.5,C3,5,44,0.382231404958678,0.617768595041322,0.431818181818182
