dataset,slope_median_uv_per_load,slope_ci,delta_median_uv,delta_ci,rho_as_is,rho_collapsed,sign_consistency_as_is,sign_consistency_collapsed,slope_ci_lo,slope_ci_hi,delta_ci_lo,delta_ci_hi
ds003655,0.158163004471135,"[-0.058413206716068, 0.325271287238138]",0.309282578111045,"[-0.140505991741867, 0.576377044265819]",0.019577353652483,0.019577353652483,0.551282051282051,0.551282051282051,-0.058413206716068,0.325271287238138,-0.140505991741867,0.576377044265819
ds004117,0.088454385149817,"[-0.226291742165540, 0.495329459226923]",0.252454527137422,"[-0.969909308328927, 1.733269036421348]",0.062757706860115,0.062757706860115,0.590909090909091,0.590909090909091,-0.22629174216554,0.495329459226923,-0.969909308328927,1.733269036421348
ds005095,0.090652115937296,"[-0.022468763442400, 0.177224440752373]",0.639731592658907,"[-0.527760372546839, 1.707589670779910]",0.056062273067223,-0.056062273067223,0.560975609756098,0.439024390243902,-0.0224687634424,0.177224440752373,-0.527760372546839,1.70758967077991
