dataset_id,endpoint,feature,type,n,estimate,ci95_lo,ci95_hi,perm_p,covariates,n_perm_done,n_boot_done,perm_q_within_ds004584,source,auc_flipped,model,perm_q_within_ds007020,auc_raw,perm_q,perm_q_global
ds004584,AUC_PD_vs_CN,dev_z_theta_alpha_ratio,auc,123,0.5264754550468836,0.4226872753857325,0.6334707982292015,0.6195190240487976,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.880768461576921
ds004584,LogitBeta_PD_vs_CN,dev_z_theta_alpha_ratio,logit_beta,123,0.0137594257135045,-0.3617473129588182,0.376137034365653,0.9350032498375082,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds004584,AUC_PD_vs_CN,dev_z_rel_alpha,auc,123,0.5628792057363486,0.4509526330319038,0.6657505056858385,0.239538023098845,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.6408679566021698
ds004584,LogitBeta_PD_vs_CN,dev_z_rel_alpha,logit_beta,123,0.1465533157679316,-0.2506155752858591,0.572244671348891,0.4188290585470726,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7911215550333593
ds004584,AUC_PD_vs_CN,dev_z_spectral_slope,auc,123,0.4536679536679536,0.350940644654088,0.5614623473428504,0.3859807009649517,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7719614019299034
ds004584,LogitBeta_PD_vs_CN,dev_z_spectral_slope,logit_beta,123,-0.1652581514067529,-0.4798738262383931,0.140436364775383,0.3170341482925853,age;sex_num,20000.0,2000.0,0.8376581170941452,master_pdrest,,,,,,0.7186107361298599
ds004584,AUC_PD_vs_CN,composite_deviation,auc,123,0.4892443463872035,0.3865768643345962,0.5877926356589146,0.8383080845957702,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds004584,LogitBeta_PD_vs_CN,composite_deviation,logit_beta,123,-0.0683176399780976,-0.8273432282077369,0.6641089322528775,0.8527573621318935,age;sex_num,20000.0,2000.0,0.9350032498375082,master_pdrest,,,,,,0.9634518274086294
ds007020,AUC_mortality,dev_z_theta_alpha_ratio,auc,94,0.6767676767676768,0.5333675067443439,0.8138619911689818,0.0123493825308734,,20000.0,2000.0,,master_mortality,0.6767676767676768,baseline_logit,0.061746912654367,,,0.06997983434161593
ds007020,LogitBeta_mortality,dev_z_theta_alpha_ratio,logit_beta,94,0.5003604525324071,0.0768638095388138,1.2743882900380883,0.047797610119494,,20000.0,2000.0,,master_mortality,,baseline_logit,0.1102944852757362,,,0.2031398430078495
ds007020,AUC_mortality,dev_z_rel_alpha,auc,94,0.3655303030303031,0.23435950685654,0.5050095245937634,0.0551472426378681,,20000.0,2000.0,,master_mortality,0.6344696969696969,baseline_logit,0.1102944852757362,,,0.20833402774305726
ds007020,LogitBeta_mortality,dev_z_rel_alpha,logit_beta,94,-0.2718662653320652,-1.2066774614847615,0.2312623815512218,0.2450377481125943,,20000.0,2000.0,,master_mortality,,baseline_logit,0.3062971851407429,,,0.6408679566021698
ds007020,AUC_mortality,dev_z_spectral_slope,auc,94,0.4873737373737374,0.354459143797379,0.6166603388446622,0.8616069196540173,,20000.0,2000.0,,master_mortality,0.5126262626262625,baseline_logit,0.9106044697765112,,,0.9634518274086294
ds007020,LogitBeta_mortality,dev_z_spectral_slope,logit_beta,94,0.0251673145214503,-0.4221955596233299,0.4665420652062724,0.9106044697765112,,20000.0,2000.0,,master_mortality,,baseline_logit,0.9106044697765112,,,0.9634518274086294
ds007020,AUC_mortality,composite_deviation,auc,94,0.611111111111111,0.4851122835497835,0.7360369508336375,0.1174941252937353,,20000.0,2000.0,,master_mortality,0.611111111111111,baseline_logit,0.19582354215622552,,,0.39948002599870003
